Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Minneapolis Lakers*,,44,24,49,19,5.41,-0.63,4.79,86.4,80.7,+5.7,94.8,.356,,.436,,.373,,,.262,,,,,,,Minneapolis Auditorium,,
Philadelphia Warriors*,,40,26,43,23,3.76,-0.36,3.40,84.8,81.0,+3.8,99.3,.385,,.425,,.350,,,.294,,,,,,,Philadelphia Arena,,
Rochester Royals*,,41,27,42,26,2.99,-0.44,2.54,89.3,86.2,+3.1,92.3,.418,,.452,,.378,,,.315,,,,,,,Edgerton Park Arena,,
Syracuse Nationals*,,32,34,34,32,0.53,0.09,0.62,86.4,85.9,+0.5,98.1,.491,,.435,,.351,,,.356,,,,,,,State Fair Coliseum,,
New York Knicks*,,36,30,34,32,0.41,0.07,0.49,88.0,87.6,+0.4,94.8,.415,,.445,,.379,,,.296,,,,,,,Madison Square Garden (III),,
Boston Celtics*,,39,30,34,35,-0.26,-0.15,-0.41,87.3,87.6,-0.3,95.9,.431,,.441,,.368,,,.312,,,,,,,Boston Garden,"197,888",
Fort Wayne Pistons*,,32,36,29,39,-1.87,0.07,-1.81,82.0,83.8,-1.8,102.4,.403,,.410,,.338,,,.290,,,,,,,North Side High School Gym,,
Baltimore Bullets,,24,42,27,39,-2.29,0.35,-1.94,83.9,86.3,-2.4,96.8,.364,,.421,,.353,,,.271,,,,,,,Baltimore Coliseum,,
Indianapolis Olympians*,,31,37,27,41,-2.37,0.37,-2.00,83.6,86.0,-2.4,96.4,.329,,.420,,.363,,,.236,,,,,,,Hinkle Fieldhouse,,
Tri-Cities Blackhawks,,25,43,24,44,-3.79,0.56,-3.22,80.8,84.4,-3.6,103.9,.401,,.403,,.329,,,.290,,,,,,,Wharton Field House,,
Washington Capitols,,10,25,11,24,-4.77,0.14,-4.63,83.2,88.1,-4.9,97.1,.413,,.416,,.334,,,.316,,,,,,,Uline Arena,,
League Average,,,,32,32,0.00,0.00,0.00,85.1,85.1,,97.4,.399,,.428,,.357,,,.293,,,,,,,,"197,888",
