Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Chicago Bulls,30.5,15,3,.833,15,3,111.5,99.4,+12.1,86.8,.351,.253,.529,,.481,13.5,39.1,.259,,.480,18.1,72.6,.267
Utah Jazz,29.6,10,8,.556,14,4,109.7,100.8,+8.9,85.8,.356,.169,.546,,.505,13.2,29.3,.252,,.478,16.9,72.5,.308
Orlando Magic,27.2,7,5,.583,7,5,114.5,112.7,+1.8,85.8,.356,.238,.557,,.540,13.1,33.3,.209,,.512,13.2,66.0,.263
Seattle Supersonics,29.9,13,8,.619,12,9,105.7,104.1,+1.6,88.2,.389,.270,.570,,.521,17.7,26.0,.294,,.471,14.6,69.1,.255
New York Knicks,30.7,4,4,.500,4,4,102.4,102.3,+0.1,85.4,.379,.233,.548,,.508,18.0,24.0,.264,,.447,13.3,65.6,.201
Indiana Pacers,29.0,2,3,.400,2,3,102.5,103.7,-1.2,83.1,.332,.155,.516,,.463,18.1,38.0,.255,,.476,15.6,65.6,.202
Los Angeles Lakers,27.5,1,3,.250,2,2,101.4,103.6,-2.2,93.4,.286,.280,.512,,.468,14.7,28.3,.216,,.500,11.3,83.2,.194
San Antonio Spurs,29.2,5,5,.500,4,6,108.5,111.5,-3.0,86.8,.377,.159,.550,,.507,13.9,28.8,.268,,.498,12.4,67.9,.203
Atlanta Hawks,27.4,4,6,.400,3,7,107.9,112.9,-5.0,85.0,.322,.272,.536,,.494,13.9,31.0,.236,,.512,14.6,61.0,.226
Houston Rockets,29.6,3,5,.375,3,5,103.2,108.4,-5.2,93.5,.287,.278,.527,,.488,12.9,21.0,.211,,.522,14.7,73.0,.222
Sacramento Kings,26.8,1,3,.250,1,3,96.0,102.6,-6.6,91.4,.385,.216,.507,,.463,18.4,31.6,.260,,.497,16.5,76.9,.304
Portland Trail Blazers,28.9,2,3,.400,1,4,101.6,112.9,-11.3,86.4,.445,.224,.488,,.436,13.2,31.4,.294,,.501,11.3,70.9,.332
Phoenix Suns,29.0,1,3,.250,1,3,109.1,121.3,-12.2,90.5,.305,.151,.506,,.458,10.1,31.5,.233,,.567,10.9,70.6,.212
Cleveland Cavaliers,27.9,0,3,.000,0,3,98.5,111.7,-13.2,80.9,.203,.284,.494,,.459,14.2,29.4,.158,,.572,16.1,76.0,.204
Detroit Pistons,28.1,0,3,.000,0,3,107.6,122.9,-15.3,82.7,.343,.231,.537,,.488,13.9,31.6,.259,,.573,11.7,67.6,.241
Miami Heat,27.2,0,3,.000,0,3,92.6,118.0,-25.4,90.4,.310,.324,.511,,.472,20.4,27.6,.218,,.551,15.0,64.3,.308
League Average,29.1,,,,4,4,106.8,106.8,,87.1,.351,.232,.538,,.495,14.7,30.3,.251,,.495,14.7,69.7,.251
