Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Chicago Bulls,32.1,15,6,.714,16,5,109.7,101.4,+8.3,84.1,.367,.169,.523,,.472,12.4,34.3,.269,,.476,15.6,72.4,.242
San Antonio Spurs,29.5,4,5,.444,6,3,105.1,101.4,+3.7,86.3,.427,.179,.536,,.489,14.4,28.3,.294,,.453,10.7,74.9,.200
Indiana Pacers,30.0,10,6,.625,9,7,107.0,104.4,+2.6,85.2,.422,.208,.556,,.499,15.1,25.6,.321,,.467,15.3,67.4,.296
Utah Jazz,30.4,13,7,.650,12,8,102.8,100.4,+2.4,85.6,.347,.127,.526,,.477,14.5,25.6,.258,,.441,13.0,71.1,.282
Atlanta Hawks,29.3,1,3,.250,2,2,104.7,102.9,+1.8,83.6,.305,.247,.528,,.495,13.3,28.8,.209,,.511,14.3,78.4,.190
Los Angeles Lakers,25.9,7,6,.538,7,6,113.3,111.9,+1.4,88.4,.471,.233,.553,,.514,12.5,33.1,.306,,.501,13.7,68.3,.276
Miami Heat,28.0,2,3,.400,2,3,101.8,104.3,-2.5,85.9,.425,.287,.529,,.483,14.1,21.1,.290,,.465,14.7,71.9,.321
New York Knicks,30.2,4,6,.400,4,6,101.1,103.6,-2.5,86.7,.335,.184,.523,,.472,16.0,26.9,.256,,.481,14.2,77.0,.319
Seattle Supersonics,31.6,4,6,.400,4,6,111.4,114.3,-2.9,85.4,.295,.245,.538,,.497,12.6,32.3,.222,,.516,13.7,64.3,.233
Portland Trail Blazers,26.1,1,3,.250,1,3,109.4,114.1,-4.7,91.2,.358,.192,.542,,.489,15.0,33.5,.277,,.531,11.5,74.0,.363
Minnesota Timberwolves,27.6,2,3,.400,1,4,104.6,111.4,-6.8,86.2,.256,.246,.508,,.462,13.6,31.5,.206,,.512,13.8,69.4,.230
Charlotte Hornets,29.5,4,5,.444,2,7,99.0,106.2,-7.2,83.6,.261,.152,.509,,.479,14.8,23.8,.178,,.480,12.6,69.2,.222
Houston Rockets,32.9,2,3,.400,1,4,95.5,103.2,-7.7,88.6,.395,.247,.478,,.416,12.8,24.7,.289,,.480,13.5,76.5,.283
Phoenix Suns,28.0,1,3,.250,1,3,101.8,110.0,-8.2,91.4,.249,.150,.492,,.459,10.4,26.1,.173,,.530,14.0,73.5,.289
New Jersey Nets,27.6,0,3,.000,1,2,107.3,116.0,-8.7,85.5,.314,.093,.531,,.485,13.0,33.3,.237,,.515,13.4,64.3,.275
Cleveland Cavaliers,23.9,1,3,.250,1,3,97.6,107.3,-9.7,82.7,.573,.098,.524,,.449,19.2,30.3,.415,,.514,15.7,74.2,.257
League Average,29.6,,,,4,4,105.6,105.6,,85.9,.366,.188,.529,,.481,13.9,28.9,.265,,.481,13.9,71.1,.265
