Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Washington Bullets*,28.2,54,28,53,29,4.99,-0.24,4.75,107.4,102.7,+4.7,106.5,.308,,.527,,.485,13.7,34.0,.227,,.475,13.1,70.1,.176,,Capital Centre,,
San Antonio Spurs*,27.3,48,34,53,29,5.18,-0.21,4.97,107.1,102.4,+4.7,110.6,.312,,.554,,.506,15.8,30.2,.248,,.477,15.9,66.9,.221,,HemisFair Arena,,
Phoenix Suns*,25.5,50,32,50,32,3.70,-0.15,3.55,105.7,102.4,+3.3,108.5,.306,,.555,,.512,17.1,30.9,.235,,.495,17.7,65.8,.211,,Arizona Veterans Memorial Coliseum,,
Los Angeles Lakers*,27.2,47,35,49,33,3.06,-0.12,2.95,106.1,103.2,+2.9,105.9,.282,,.557,,.517,15.9,27.6,.217,,.484,15.1,66.5,.180,,The Forum,"482,611",
Seattle SuperSonics*,26.8,52,30,48,34,2.72,-0.03,2.69,102.7,100.1,+2.6,103.4,.307,,.514,,.468,15.7,34.8,.231,,.463,15.0,69.1,.209,,,,
Kansas City Kings*,25.7,48,34,48,34,2.88,-0.15,2.73,104.5,101.9,+2.6,107.3,.313,,.533,,.492,15.8,31.9,.228,,.486,18.4,67.5,.307,,Kemper Arena,,
Milwaukee Bucks,24.8,38,44,47,35,2.22,-0.10,2.12,106.0,104.0,+2.0,106.5,.260,,.540,,.503,15.4,32.2,.198,,.490,16.9,65.9,.242,,MECCA Arena,,
Atlanta Hawks*,24.6,46,36,47,35,2.09,-0.16,1.92,105.6,103.6,+2.0,102.5,.342,,.525,,.473,15.2,36.1,.262,,.489,18.2,66.6,.297,,Omni Coliseum,,
Philadelphia 76ers*,26.4,47,35,46,36,1.85,-0.11,1.74,102.0,100.3,+1.7,106.7,.329,,.535,,.488,17.4,31.4,.247,,.464,15.8,68.4,.229,,The Spectrum,,
Denver Nuggets*,26.2,47,35,44,38,1.28,-0.04,1.24,104.4,103.2,+1.2,105.9,.389,,.530,,.481,16.3,35.0,.280,,.477,15.1,68.1,.225,,McNichols Sports Arena,,
Portland Trail Blazers*,25.6,45,37,44,38,1.26,-0.14,1.12,104.3,103.1,+1.2,103.4,.322,,.530,,.483,16.5,34.8,.246,,.488,16.8,69.3,.268,,Memorial Coliseum,,309
Houston Rockets*,27.6,47,35,43,39,0.98,-0.06,0.92,108.7,107.7,+1.0,103.8,.311,,.545,,.497,15.1,35.2,.246,,.498,14.0,67.9,.213,,The Summit,,
Golden State Warriors,25.2,38,44,42,40,0.38,0.08,0.46,102.4,102.0,+0.4,102.2,.251,,.521,,.487,15.3,31.6,.183,,.481,16.2,68.7,.221,,Oakland-Alameda County Coliseum Arena,,
Indiana Pacers,25.0,38,44,37,45,-1.60,0.19,-1.41,103.0,104.5,-1.5,105.3,.308,,.521,,.475,15.2,32.0,.234,,.478,15.9,66.1,.249,,Market Square Arena,,
San Diego Clippers,27.3,43,39,37,45,-1.78,0.02,-1.76,106.2,107.9,-1.7,106.3,.321,,.528,,.483,15.6,37.5,.238,,.491,14.7,65.1,.226,,San Diego Sports Arena,,
Detroit Pistons,25.4,30,52,34,48,-2.67,0.07,-2.60,102.1,104.6,-2.5,107.2,.287,,.513,,.475,15.4,33.1,.206,,.493,16.8,64.7,.227,,Pontiac Silverdome,,
New York Knicks,25.7,31,51,32,50,-3.38,0.09,-3.29,102.2,105.4,-3.2,104.9,.279,,.520,,.487,15.9,32.5,.196,,.483,15.4,66.5,.256,,Madison Square Garden (IV),,
Cleveland Cavaliers,27.3,30,52,31,51,-3.72,0.15,-3.57,103.7,107.3,-3.6,102.7,.277,,.512,,.468,13.9,32.2,.213,,.503,15.9,66.8,.257,,Coliseum at Richfield,,
New Jersey Nets*,25.7,37,45,30,52,-4.17,0.17,-4.00,98.0,101.8,-3.8,109.5,.347,,.509,,.460,17.7,31.8,.253,,.480,18.3,65.8,.296,,Rutgers Athletic Center,,
Chicago Bulls,26.2,31,51,31,51,-3.96,0.18,-3.78,101.3,105.1,-3.8,102.9,.307,,.532,,.489,18.3,34.0,.230,,.497,15.0,69.9,.209,,Chicago Stadium,,
Boston Celtics,27.5,29,53,28,54,-5.05,0.27,-4.78,101.6,106.4,-4.8,106.5,.316,,.530,,.480,17.0,31.3,.248,,.508,15.9,68.1,.208,,Boston Garden,"417,926",
New Orleans Jazz,26.7,26,56,26,56,-6.24,0.28,-5.97,99.6,105.4,-5.8,108.6,.321,,.518,,.468,17.1,31.7,.246,,.481,15.1,64.3,.207,,Louisiana Superdome,,
League Average,26.2,,,41,41,0.00,0.00,0.00,103.8,103.8,,105.8,.309,,.530,,.485,16.0,32.8,.232,,.485,16.0,67.2,.232,,,"450,269",15
