Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Houston Rockets,28.1,15,8,.652,14,9,107.6,104.1,+3.5,89.9,.294,.226,.545,,.502,13.9,25.6,.225,,.451,11.4,68.2,.218
Indiana Pacers,27.3,10,6,.625,10,6,102.9,99.5,+3.4,87.8,.372,.130,.519,,.470,17.0,35.1,.269,,.454,16.8,65.7,.258
Chicago Bulls,27.9,6,4,.600,6,4,108.7,105.5,+3.2,85.2,.344,.135,.538,,.487,14.0,32.6,.263,,.475,15.2,66.6,.277
Utah Jazz,29.5,8,8,.500,9,7,107.1,104.9,+2.2,86.3,.358,.098,.508,,.450,11.1,31.5,.275,,.450,13.3,68.4,.294
New York Knicks,28.9,14,11,.560,14,11,101.1,100.0,+1.1,87.4,.352,.175,.507,,.457,15.9,34.0,.257,,.450,16.4,69.9,.282
Seattle Supersonics,28.0,2,3,.400,3,2,103.1,102.2,+0.9,88.5,.470,.127,.500,,.440,11.7,30.5,.325,,.468,16.3,66.8,.262
Atlanta Hawks,28.1,5,6,.455,6,5,102.5,102.2,+0.3,88.2,.300,.111,.498,,.453,13.3,32.1,.221,,.459,16.2,64.1,.250
Phoenix Suns,28.8,6,4,.600,5,5,110.5,112.1,-1.6,95.3,.314,.194,.528,,.485,10.6,31.0,.232,,.533,12.4,74.6,.178
Denver Nuggets,24.8,6,6,.500,5,7,103.3,105.4,-2.1,87.5,.444,.150,.514,,.456,15.4,32.5,.317,,.442,10.9,69.3,.298
Portland Trail Blazers,28.9,1,3,.250,1,3,110.5,116.1,-5.6,93.9,.261,.114,.506,,.462,10.1,35.5,.204,,.543,13.3,72.8,.255
Orlando Magic,25.2,0,3,.000,1,2,104.1,110.1,-6.0,88.1,.397,.240,.511,,.467,17.5,39.3,.266,,.475,13.5,61.5,.278
Golden State Warriors,25.0,0,3,.000,1,2,118.2,125.0,-6.8,98.2,.268,.162,.572,,.546,12.6,35.0,.188,,.528,9.5,59.2,.248
Miami Heat,26.3,2,3,.400,1,4,100.0,107.6,-7.6,89.8,.373,.162,.489,,.435,15.2,34.7,.269,,.470,13.1,66.5,.239
Cleveland Cavaliers,27.4,0,3,.000,1,2,109.3,117.0,-7.7,83.7,.391,.163,.520,,.468,13.6,35.9,.283,,.524,13.6,61.5,.285
New Jersey Nets,26.8,1,3,.250,1,3,94.7,102.6,-7.9,89.1,.500,.167,.473,,.378,15.9,31.3,.397,,.450,15.5,65.0,.280
San Antonio Spurs,29.0,1,3,.250,1,3,100.8,110.3,-9.5,87.3,.299,.116,.464,,.418,11.2,35.1,.215,,.484,12.4,68.8,.282
League Average,27.9,,,,5,5,105.0,105.0,,88.6,.349,.157,.516,,.466,14.0,32.1,.258,,.466,14.0,67.9,.258
